Species,TotalMiss
Orectognathus_nanus_FMNHINS0000105004 ,10.6271398
Oxyepoecus_sp_VOUCHEROLD037 ,21.2988067
Oxyopomyrmex_insularis_RA0346atMCZ ,14.0880516
Pachycondyla_impressa_FMNHINS0003471268 ,11.0615266
Paltothyreus_tarsatus_CUIC000116669 ,13.2905213
Papyrius_nitidus_FMNHINS0003145144 ,11.4639198
Paraparatrechina_sp_FMNHINS0003471578 ,12.3244477
Paraponera_clavata_FMNHINS0003165715 ,19.7383784
Parasyscia_dohertyi_CASENT0732020 ,17.4668355
Paratopula_th01_CASENT0010838 ,10.9787391
Paratrachymyrmex_cornetzi_USNMENT00439347 ,89.0298365
Paratrechina_longicornis_FMNHINS0003144862 ,21.8456657
Parvaponera_darwinii_CASENT0637361 ,16.9691213
Patagonomyrmex_angustus_RA1138atMCZ ,9.3770821
Pepsis_grossa_CASENT0106314 ,56.3482483
Perissomyrmex_snyderi_CASENT0106226 ,15.7438008
Petalomyrmex_phylax_CASENT0217048 ,76.7192417
Pheidole_flavens_FMNHINS0003145600 ,13.0461169
Philidris_cordata_RA0312atMCZ ,34.4788348
Phrynoponera_sp_CUIC000115670 ,12.4642958
Pilotrochus_besmerus_CASENT0135545 ,86.8503163
Plagiolepis_sp_FMNHINS0003471606 ,75.8587138
Platythyrea_sp_FMNHINS0003471822 ,21.9937596
Plectroctena_sp_CUIC000115671 ,13.7466770
Podomyrma_sp_FMNHINS0003145252 ,12.7687294
Poecilomyrma_myrmecodiae_CASENT0106144 ,17.9747746
Pogonomyrmex_badius_FMNHINS0003145383 ,13.5263502
Polyergus_mexicanus_FMNHINS0003165223 ,12.9841088
Polyrhachis_sokolova_FMNHINS0003145190 ,13.1803579
Ponera_pennsylvanica_FMNHINS0000105179 ,28.6273113
Prenolepis_imparis_FMNHINS0003471192 ,13.6988515
Prionopelta_antillana_FMNHINS0003145496 ,15.4331005
Pristomyrmex_sp_RA0278atMCZ ,14.4617496
Proatta_butteli_FMNHINS0003471779 ,11.7574690
Proceratium_sp_FMNHINS0003471710 ,19.1060933
Procryptocerus_pictipes_FMNHINS0003165677 ,10.4559577
Proformica_nasuta_RA0388atMCZ ,13.7479963
Prolasius_sp_RA0372atMCZ ,13.4234430
Propodilobus_pingorum_AntbaseNet01463 ,14.0481421
Protalaridris_sp_JTLC000015230 ,88.1960249
Protanilla_sp_RA0401atMCZ ,25.0687697
Psalidomyrmex_sp_CUIC000115672 ,11.2214944
Pseudoatta_sp_USNMENT00443055 ,72.9103587
Pseudolasius_sp_FMNHINS0003471809 ,15.7503974
Pseudomyrmex_gracilis_FMNHINS0003145444 ,19.3828211
Pseudoneoponera_sp_FMNHINS0003145239 ,12.0731168
Pseudonotoncus_hirsutus_CASENT0227592 ,87.9809754
Pseudoponera_sp_FMNHINS0003145536 ,12.8149057
Rasopone_ferruginea_CASENT0609807 ,9.1590641
Recurvidris_sp_RA0486atMCZ ,14.1457719
Rhopalomastix_johorensis_RA0390atMCZ ,14.6454652
Rhopalothrix_isthmica_CASENT0633226 ,12.4276847
Rhytidoponera_metallica_FMNHINS0003145208 ,10.0720350
Rogeria_belti_CASENT0633235 ,9.5604678
Romblonella_scrobifera_CASENT0106224 ,12.2165931
Rossomyrmex_anatolicus_CASENT0235254 ,87.8338710
Rotastruma_recava_CASENT0106250 ,18.9537116
Royidris_notorthotenes_CASENT0002259 ,20.1856286
Santschiella_kohli_CASENT0004701 ,89.7881169
Sceliphron_caementarium_CASENT0106321 ,91.9376224
Sericomyrmex_opacus_FMNHINS0003145561 ,11.5599005
Simopelta_pergandei_FMNHINS0003145538 ,12.1034612
Simopone_conradti_CASENT0732022 ,14.0989360
Solenopsis_invicta_FMNHINS0003144951 ,11.0414069
Sphinctomyrmex_cf_marcoyi_CASENT0731146 ,13.9244556
Stegomyrmex_manni_CASENT0633333 ,10.1749421
Stenamma_snellingi_FMNHINS0003471225 ,14.5392597
Stereomyrmex_horni_MCZ594252 ,15.3285442
Stigmacros_sp_CUIC000001235 ,32.8623353
Stigmatomma_pallipes_CUIC000115673 ,57.0046110
Strongylognathus_testaceus_CASENT0106266 ,9.8912879
Strumigenys_elongata_FMNHINS0003145576 ,9.7055933
Syscia_madrensis_CASENT0732067 ,16.2744982
Tanipone_aglandula_CASENT0052407 ,19.7261747
Tapinolepis_mg01_CASENT0041468 ,77.5781204
Tapinoma_melanocephalum_FMNHINS0003145465 ,17.5905220
Tatuidris_sp_RA0399atMCZ ,17.0202450
Technomyrmex_difficilis_FMNHINS0000078517 ,13.6721353
Temnothorax_torrei_FMNHINS0003471456 ,9.7913492
Terataner_mg02_CASENT0494349 ,10.2128726
Teratomyrmex_greavesi_QMT162820 ,87.4680889
Tetheamyrma_subspongia_CASENT0106305 ,19.0064845
Tetramorium_bicarinatum_FMNHINS0003145224 ,11.3128575
Tetraponera_ophthalmica_FMNHINS0003471601 ,20.9227999
Thaumatomyrmex_atrox_CUIC000115674 ,72.8941970
Trachymyrmex_septentrionalis_FMNHINS0003145472 ,11.2148978
Tranopelta_subterranea_FMNHINS0003471295 ,12.6480115
Trichomyrmex_criniceps_CASENT0106263 ,11.8920399
Turneria_bidentata_FMNHINS0003471687 ,12.1813012
Typhlomyrmex_rogenhoferi_FMNHINS0003165058 ,13.5369047
Veromessor_andrei_FMNHINS0003165141 ,71.3941277
Vespula_germanica_RA0385atMCZ ,47.1192601
Vicinopone_conciliatrix_CASENT0731168 ,14.4030397
Vitsika_suspicax_CASENT0068044 ,10.9563106
Vollenhovia_sp_FMNHINS0003471799 ,15.1233896
Vombisidris_bilongrudi_CASENT0200241 ,8.9707308
Wasmannia_auropunctata_FMNHINS0000062894 ,10.8329540
Xenomyrmex_floridanus_FMNHINS0003145004 ,9.1851207
Xerolitor_explicatus_USNMENT01125245 ,88.5446558
Leptanilla_th02_CASENT0119531 ,27.7812960
Yunodorylus_eguchii_RA0403atMCZ ,18.3916804
Zasphinctus_sarowiwai_CASENT0764121 ,19.1862421
Zatania_albimaculata_CASENT0106052 ,85.3182535
