Species,PercOfMiss,FirstNode,SecondNode,ThirdNode
Aprostocetus_prob_gala_USNMENT01322186,40.275865,100,100,100
Pseudometagea_sp_USNMENT01322060,40.243902,100,100,100
Histeromerus_sp1_USNMENT01322604,40.148013,99,100,100
Brachygaster_BRV003_PSUC_FEM188507,40.07917,100,100,91
Paradecatoma_sp_USNMENT01322415,40.039831,99,98,100
Mymaromma_anomalum_JRAS07601_0189,39.518588,100,100,100
Glyptomorpha_pectoralis_USNMENT01322556,39.095692,100,48,100
Omalaspis_sp_USNMENT01322151,38.91129,100,100,100
Ooencyrtus_sp1_USNMENT01231161,38.638375,100,100,100
Plectocynips_pilosus_USNMENT01322170,38.594119,100,100,100
Pseudibalia_sp_USNMENT01339677,38.382671,100,100,98
Echthromorpha_agrestoria_BS_UCE_Ich335,38.035995,100,100,100
Ceraphron_sp_PSUC_FEM17529,37.913061,99,100,100
Aulacodes_nigriventris_USNMENT01322459,37.772915,100,100,99
Philolema_latrodecti_USNMENT01322374,37.610641,98,100,99
Perilampella_sp_ANIC00063_0189,37.495083,78,98,82
Iphitrachelus_sp_USNMENT01335755,37.308222,100,100,100
Megaspilus_armatus_PSUC_FEM13531,37.204957,100,100,100
Charops_sp_BS_UCE_Ich455,36.855822,55,100,99
Austromerus_sp_USNMENT01197939,36.423092,100,100,100
Lysitermoides_sp1_USNMENT01322608,36.132966,100,100,100
Palmon_sp_USNMENT01322085,36.010031,100,100,100
Aphidius_sp4_USNMENT01322235,35.442073,100,100,100
Torymoides_sulcius_USNMENT01322088,35.405193,100,100,100
Orthostigma_sp1_USNMENT01322428,35.265047,98,100,100
Astrenis_sp_BS_UCE_Ich443,35.255212,86,53,52
Coelocyboides_sp_USNMENT01322071,34.633163,99,100,90
Scolomus_clypeatus_BS_UCE_Ich328,34.628245,100,100,99
Eucharis_adscendens_JRAS07609_0189,34.458596,100,100,100
Melanips_sp_USNMENT01322150,34.311074,100,100,61
Sycophila_nsp_USNMENT01322053,34.222561,100,99,100
Eurytoma_n_sp_guadeloupe_USNMENT01322395,34.202891,100,100,96
Idarnes_incerta_JRAS06107_0389,33.969315,100,100,35
Acrisis_sp1_USNMENT01322601,33.947187,100,99,100
Atopotrophus_bucephalus_BS_UCE_Ich434,33.861133,100,100,100
Isosomodes_parkeri_USNMENT01322054,33.605429,100,99,100
Encarsia_sp1_USNMENT01231206,33.354642,100,100,97
Capitonius_chontalensis_USNMENT01322558,33.352183,100,100,99
Leiophron_incerta_USNMENT01322473,33.071892,100,100,100
Anidarnes_nsp_JRAS06087_0389,32.993214,100,100,35
Enicospilus_sp_BS_UCE_Ich570,32.889949,100,100,100
Trioxys_sp1_USNMENT01322622,32.889949,100,100,100
Diapria_conica_USNMENT01322287,32.83094,100,100,100
Pauesia_sp1_USNMENT01322547,32.798977,100,100,100
Notaspidium_sp_USNMENT01322202,32.735051,100,79,100
Oenonogastra_sp1_USNMENT01322540,32.700629,100,100,100
Absyrtus_sp_BS_UCE_Ich386,32.528521,99,97,98
Piestopleura_sp_USNMENT01223801,32.462136,100,100,100
Phaenoserphus_sp_USNMENT00764821,32.39821,100,100,100
Megalyridae_sp_USNMENT01339662,32.290028,100,100,100
Fidiobia_sp_USNMENT01223772,32.258065,100,100,100
Rhoptromeris_sp1_USNMENT01339642,32.125295,100,100,100
Hexacladia_sp1_USNMENT01231129,32.083497,99,100,84
Orasema_sp_JRAS03331_0101,32.07858,100,100,100
Zaommoencyrtus_sp1_USNMENT01231139,32.049076,100,100,100
Plagiotrochus_suburi_USNMENT01322345,31.672895,100,100,100
Macrojoppa_bogotensis_BS_UCE_Ich263,31.655685,100,100,100
Macroglenes_penetrans_USNMENT01322098,31.62618,99,96,97
Monomachus_sp_USNMENT01322359,31.604052,100,100,100
Bassus_sp4_USNMENT01322252,31.463906,100,100,100
Agonocryptus_brevicauda_BS_UCE_Ich581,31.377852,100,100,100
Meniscomorpha_sp_BS_UCE_Ich318,31.34343,100,100,100
Phylloxeroxenus_sp_USNMENT01322207,31.262293,100,100,100
Rhyssella_nitida_BS_UCE_Ich378,31.013965,100,96,97
Annettella_sp_USNMENT01197959,30.812352,99,99,99
Synopeas_sp_USNMENT01223783,30.241935,100,100,100
Pantoclis_sp_USNMENT01322340,30.222266,100,100,82
Mirufens_longicauda_JRAS07597_0501,30.121459,100,99,96
Adelius_sp_nr_fasciipennis_USNMENT01322246,30.040323,100,100,99
Teasienna_sp_USNMENT01322107,29.789536,100,100,100
Olixon_sp_BS_UCE_Rhop1,29.715775,100,100,99
Coptera_sp_USNMENT01322289,29.693647,100,100,100
Earinus_sp1_USNMENT01322461,29.558419,100,100,100
Doryctobracon_crawfordi_USNMENT01322594,29.531373,100,100,100
Paroligoneurus_sp1_USNMENT01322443,29.074056,100,100,100
Dilyta_sp1_USNMENT01339646,28.87736,100,100,100
Lysaphidus_sp1_USNMENT01322495,28.87736,100,100,100
Trichomma_cf_BS_UCE_Ich452,28.818352,100,100,100
Dendrocerus_mexicali_PSUC_FEM86151,28.749508,100,100,100
Cantharoctonus_sp1_USNMENT01322602,28.720004,100,100,99
Erotolepsia_sp01_JRAS07552_0589,28.631491,99,98,81
Cerceris_hatuey_EX444,28.542978,100,98,100
Allostemma_sp_USNMENT01335756,28.515932,100,94,94
Asaphes_vulgaris_JRAS07609_0389,28.361035,100,90,90
Megischus_mexicanus_USNMENT01339669,28.051239,100,91,85
Leptobatopsis_sp_BS_UCE_Ich462,27.989772,100,100,100
Trichopria_sp_USNMENT01322335,27.820122,100,100,100
Microcharops_sp_BS_UCE_Ich406,27.817663,100,100,100
Janzenella_innupta_OSUC_264384,27.5595,100,100,100
Miota_sp_USNMENT01322341,27.505409,82,100,100
Schizocerella_lineata_USNMENT01322224,27.453777,100,100,100
Conostigmus_crassicornis_PSUC_FEM13461,27.436566,100,100,100
Physothorax_pallidus_USNMENT01322087,27.404603,100,100,100
Oedemopsis_sp_BS_UCE_Ich352,27.293961,100,100,99
Cardiochiles_sp1_USNMENT01322431,27.286585,100,100,100
Alabagrus_sp3_USNMENT01322247,27.222659,100,100,100
Haltichella_sp_USNMENT01322193,26.846479,100,100,79
Prodecatomidea_sp_USNMENT01339601,26.802223,100,100,98
Clatha_sp_BS_UCE_Ich461,26.789929,100,100,100
Aceroteta_sp_USNMENT01197068,26.740755,99,99,100
Mesoleptidea_sp_BS_UCE_Ich487,26.721086,100,100,100
Ophion_sp_BS_UCE_Ich571,26.630114,100,100,100
Aphaereta_sp_megalops_USNMENT01322462,26.352282,100,100,100
Aiolomorphus_rhopaloides_USNMENT01322045,26.143293,100,100,100
Sphecius_hogardii_EX447,26.025275,100,97,100
Eretmocerus_eremicus_JSTR00476_0189,25.968725,100,98,75
Stilbula_cynipiformis_JRAS06279_0199,25.813828,100,100,100
Megastylus_sp_BS_UCE_Ich475,25.764654,100,27,27
Dicamptus_sp_BS_UCE_Ich454,25.71548,100,100,100
Excavarus_annulipes_BS_UCE_Ich382,25.681058,100,100,100
Zeuxevania_sp_PSUC_FEM188508,25.609756,100,100,100
Creator_spissicornis_PSUC_FEM13530,25.309795,100,100,100
Pholetesor_sp1_USNMENT01322588,25.157356,100,100,100
Acanthocaudus_bicolor_USNMENT01322505,25.100806,100,100,100
Heteropelma_datanae_BS_UCE_Ich479,24.704957,100,100,100
Oobius_primorskyensis_USNMENT01119387,24.663159,100,99,100
Gastrotrypes_sp_USNMENT01223878,24.559894,100,100,100
Anagyrus_sp1_USNMENT01231185,24.471381,100,100,100
Hypomicrogaster_zonaria_USNMENT01322460,24.385327,100,100,100
Leptopilina_japonica_USNMENT01339619,24.380409,100,100,100
Alfredella_sp_USNMENT01197967,24.328777,100,100,100
Bephrata_sp_USNMENT01322396,24.296814,100,99,100
Trioxys_sp2_USNMENT01322623,24.264851,100,100,100
Metapelma_sp_USNMENT01322173,24.033733,89,78,96
Inostemma_sp_USNMENT01335757,23.913257,100,99,100
Tetramesa_romana_USNMENT01322405,23.896046,100,100,100
Oxybelus_analis_EX443,23.805075,100,100,97
Ateleute_sp_BS_UCE_Ich183,23.746066,100,99,82
Isolia_sp_OSUC_698060,23.73869,100,100,100
Parnips_nigripes_USNMENT01322129,23.660012,100,100,86
Enizemum_sp_BS_UCE_Ich481,23.325629,100,100,100
Campoletis_sonorensis_BS_UCE_Ich188,23.271538,100,100,78
Wroughtonia_sp1_USNMENT01322502,23.003541,100,98,97
Ecphylus_rohweri_USNMENT01322490,22.96666,100,100,100
Xanthocampoplex_sp_BS_UCE_Ich460,22.937156,100,78,78
Cosmophorus_sp1_USNMENT01322566,22.809304,55,98,100
Doryctes_erythromelas_USNMENT01322488,22.789634,81,99,100
Diolcogaster_sp3_USNMENT01322449,22.779799,100,100,100
Glypta_sp_BS_UCE_Ich304,22.666699,100,100,52
Eschatocerus_niger_USNMENT01322270,22.659323,86,100,100
Ausasaphes_sp_USNMENT01322072,22.62736,99,100,90
Xyela_sp_EX453,22.423289,100,100,100
Cladius_difformis_USNMENT01322223,22.415913,100,100,100
Megastigmus_transvaalensis_USNMENT01322090,22.273308,100,97,90
Heimbra_opaca_USNMENT01339599,22.187254,100,28,73
Meteorus_sp6_USNMENT01322447,22.145456,100,100,100
Homotropus_sp_BS_UCE_Ich482,22.120869,100,100,100
Calomerella_sp_USNMENT01197842,21.985641,100,100,94
Metopius_sp_BS_UCE_Ich333B,21.921715,100,100,99
Clasis_n_sp_BS_UCE_Ich189,21.884835,100,98,90
Diachasmimorpha_longicaudata_USNMENT01322503,21.865165,100,100,100
Blastophaga_psenes_JRAS02767_0189,21.850413,100,100,100
Ephialtes_sp_BS_UCE_Ich584,21.833202,100,100,100
Aylax_salviae_USNMENT01322277,21.771735,100,100,100
Pleolophus_basizonus_BS_UCE_Ich113,21.744689,100,100,82
Aphanogmus_fumipennis_PSUC_FEM17533,21.695515,100,100,100
Snellenius_sp1_USNMENT01322589,21.636507,100,100,100
Toxoneuron_viator_USNMENT01322468,21.493902,100,100,100
Dacnusa_KPBS_sp1_USNMENT01322427,21.476692,100,100,100
Cecinothofagus_ibarrai_USNMENT01322269,21.425059,100,100,100
Mnioes_sp_BS_UCE_Ich500,21.412766,100,100,100
Platygaster_sp_USNMENT01335753,21.383261,100,100,100
Cymodusa_distincta_BS_UCE_Ich466,21.368509,100,100,78
Platygaster_sp_USNMENT01335833,21.324253,100,100,100
Amblyaspis_sp_USNMENT01223891,21.218529,100,100,100
Hyptia_harpyoides_USNMENT01339668,21.137392,100,100,100
Orgilus_sp4_USNMENT01322453,21.083301,100,100,100
Aphelinus_sp1_USNMENT01231209,20.935779,100,100,98
Barycnemis_sp_BS_UCE_Ich489,20.72679,100,86,53
