Species,TotalMiss
Opius_sp27_USNMENT01322597 ,12.7146561
Orgilus_sp1_USNMENT01322598 ,19.7864877
Chremylus_elaphus_USNMENT01322599 ,28.7242641
Pambolus_sp1_USNMENT01322600 ,18.6495348
Rhysipolis_sp1_USNMENT01322603 ,18.3353668
Dolopsidea_carinata_USNMENT01322605 ,21.2017691
Oncophanes_sp_USNMENT01322606 ,15.8075339
Lysitermoides_sp1_USNMENT01322608 ,42.7314321
Triraphis_sp2_USNMENT01322611 ,18.5565045
Urosigalphus_sp2_USNMENT01322614 ,14.8009761
Polemochartus_liparae_USNMENT01322615 ,21.2795486
Liobracon_aquilonius_USNMENT01322616 ,30.0678664
Colastes_sp1_USNMENT01322617 ,12.7985359
Vadumasonium_sp1_USNMENT01322618 ,12.2487418
Polystenidea_parksi_USNMENT01322620 ,15.5109044
Trioxys_sp2_USNMENT01322623 ,37.4027757
Stiropius_sp_USNMENT01322624 ,11.3108129
Clinocentrus_sp2_USNMENT01322625 ,15.6695135
Coelinius_n_sp_USNMENT01322626 ,12.5773982
Ganaspis_brasiliensis_USNMENT01339685 ,15.7594937
Bassus_sp4_USNMENT01322252 ,39.4753698
Bephrata_sp_USNMENT01322396 ,33.9042245
Bembix_americana_EX446 ,73.3940827
Bombus_pennsylvanicus_HPG16 ,53.4337349
Brachycistis_timberlakei_EX440 ,53.5953942
Callirhytis_eldoradensis_USNMENT00893402 ,87.6833918
Callomelitta_antipodes_BND687 ,55.0038127
Capicola_richtersveldensis_BND941 ,53.9408266
Caupolicana_yarrowi_BND654 ,53.1790453
Cecinothofagus_ibarrai_USNMENT01322269 ,32.8511514
Ceraphron_masneri_PSUC_FEM17531 ,28.7959433
Centistes_sp1_USNMENT01322439 ,17.9640079
Ceroptres_sp_USNMENT01322294 ,12.3943877
Ceraphron_sp_PSUC_FEM17529 ,48.8226323
Centris_rhodopus_BND615 ,54.4845204
Ceratina_duplex_calcarta_BND657 ,55.6908647
Chaenusa_americana_USNMENT01322482 ,23.5282904
Chorebus_posticus_USNMENT01322423 ,26.0301967
