Species,PercOfMiss,FirstNode,SecondNode,ThirdNode
Amblyopone_sp_FMNHINS0003471760,19.846051,100,100,100
Colobopsis_obliqua_FMNHINS0003145306,19.816345,100,75,19
Octostruma_sp_CUIC000115668,19.752244,73,82,100
Rhopalomastix_johorensis_RA0390atMCZ,19.722798,100,46,71
Cheliomyrmex_megalonyx_CASENT0732024,19.688923,100,100,25
Harpegnathos_sp_CUIC000115665,19.508604,98,66,100
Stenamma_snellingi_FMNHINS0003471225,19.405937,100,100,100
Pristomyrmex_sp_RA0278atMCZ,19.313953,100,99,24
Chrysapace_cf_jacobsoni_CASENT0391566,19.308221,74,98,25
Gesomyrmex_chaperi_RA1124atMCZ,19.243076,51,22,36
Prionopelta_antillana_FMNHINS0003145496,19.16777,100,100,75
Euprenolepis_sp_FMNHINS0003471830,19.082822,100,100,100
Vicinopone_conciliatrix_CASENT0731168,19.022368,95,40,36
Aneuretus_simoni_RA0258atMCZ,18.960611,100,100,100
Opisthopsis_major_FMNHINS0003145137,18.959308,67,100,75
Hylomyrma_dentiloba_RA0973atMCZ,18.958787,49,100,99
Nesomyrmex_echinatinodis_FMNHINS0003165676,18.90589,56,52,51
Myrmecia_nigrocincta_FMNHINS0003145093,18.890777,100,81,100
Lioponera_cf_suscitata_CASENT0386895,18.756058,100,43,40
Leptogenys_kitteli_FMNHINS0003165525,18.677104,100,75,74
Adelomyrmex_longinoi_CASENT0634310,18.611959,75,100,76
Camponotus_floridanus_FMNHINS0003145311,18.537956,100,100,100
Hypoponera_opacior_FMNHINS0003144838,18.50825,66,98,66
Heteroponera_panamensis_RA0362atMCZ,18.400892,100,100,100
Polyergus_mexicanus_FMNHINS0003165223,18.372489,100,100,74
Prenolepis_imparis_FMNHINS0003471192,18.361285,75,76,100
Sphinctomyrmex_cf_marcoyi_CASENT0731146,18.357897,25,49,50
Odontoponera_sp_FMNHINS0003471791,18.338614,44,48,69
Proformica_nasuta_RA0388atMCZ,18.310993,100,100,100
Paltothyreus_tarsatus_CUIC000116669,18.138752,43,48,69
Carebara_affinis_FMNHINS0003471657,18.133019,100,71,49
Cerapachys_antennatus_CASENT0384548,18.09263,74,98,25
Nylanderia_bourbonica_FMNHINS0000062866,17.927424,100,100,100
Rhopalothrix_isthmica_CASENT0633226,17.872703,82,100,100
Mesoponera_sp_FMNHINS0003471709,17.867231,75,74,43
Simopone_conradti_CASENT0732022,17.77186,95,40,36
Recurvidris_sp_RA0486atMCZ,17.771339,100,100,48
Formicoxenus_provancheri_RA0230atMCZ,17.716096,100,100,100
Aretidris_buenaventei_CASENT0106232,17.666847,100,76,51
Propodilobus_pingorum_AntbaseNet01463,17.593625,75,100,44
Eurhopalothrix_procera_FMNHINS0003471708,17.515973,73,82,100
Tranopelta_subterranea_FMNHINS0003471295,17.49174,100,45,41
Dilobocondyla_sp_RA0395atMCZ,17.490437,38,24,44
Prolasius_sp_RA0372atMCZ,17.467506,100,75,88
Froggattella_kirbii_FMNHINS0003145052,17.458907,100,75,100
Typhlomyrmex_rogenhoferi_FMNHINS0003165058,17.403665,100,100,100
Podomyrma_sp_FMNHINS0003145252,17.402883,100,100,74
Notoncus_sp_RA0303atMCZ,17.390896,75,75,88
Myrmelachista_plebecula_FMNHINS0003145488,17.386727,100,100,100
Dinoponera_quadriceps_RA0996atMCZ,17.35624,100,100,100
Kartidris_sparsipila_CASENT0235130,17.250706,43,44,50
Mayriella_transfuga_RA0265atMCZ,17.219698,43,44,50
Atta_cephalotes_FMNHINS0003145587,17.178787,88,50,88
Atopomyrmex_mocquerysi_FMNHINS0003471580,17.161328,72,72,52
Polyrhachis_sokolova_FMNHINS0003145190,17.146736,100,100,67
Acanthostichus_serratulus_CASENT0732042,17.141785,100,74,50
Oxyopomyrmex_insularis_RA0346atMCZ,17.125629,100,100,100
Tetramorium_bicarinatum_FMNHINS0003145224,17.106086,100,52,75
Paraparatrechina_sp_FMNHINS0003471578,17.041984,76,100,100
Pheidole_flavens_FMNHINS0003145600,17.015145,43,43,100
Pogonomyrmex_badius_FMNHINS0003145383,17.006546,100,99,100
Cataulacus_sp_FMNHINS0003165593,16.98127,72,72,52
Megalomyrmex_balzani_FMNHINS0003145684,16.978143,100,100,100
Leptothorax_sp_RA0366atMCZ,16.922379,100,100,100
Allomerus_octoarticulatus_FMNHINS0003145672,16.881729,100,99,53
Iridomyrmex_sanguineus_FMNHINS0003471633,16.85046,100,75,100
Technomyrmex_difficilis_FMNHINS0000078517,16.822578,98,100,100
Plectroctena_sp_CUIC000115671,16.813979,100,100,66
Lordomyrma_sp_FMNHINS0003471826,16.795478,75,100,44
Acanthognathus_ocellatus_CASENT0636076,16.727207,51,100,43
Cataglyphis_iberica_RA0387atMCZ,16.704016,99,100,100
Anonychomyrma_gilberti_FMNHINS0003145264,16.686818,100,100,72
Aphaenogaster_pythia_FMNHINS0003145019,16.669359,100,50,100
Cryptopone_butteli_CASENT0635385,16.662063,100,100,100
Stereomyrmex_horni_MCZ594252,16.643562,74,48,50
Acanthomyrmex_sp_FMNHINS0003471823,16.635224,79,99,24
Goniomma_hispanicum_RA0341atMCZ,16.60187,100,100,100
Nothomyrmecia_macrops_RA0741atMCZ,16.585193,100,81,100
Eburopone_sp_CASENT0732012,16.55679,25,24,36
Cyphomyrmex_minutus_FMNHINS0003144816,16.546888,100,100,100
Turneria_bidentata_FMNHINS0003471687,16.503632,100,100,100
Diacamma_sp_FMNHINS0003165527,16.443439,100,92,100
Novomessor_cockerelli_FMNHINS0003145373,16.43458,100,50,100
Wasmannia_auropunctata_FMNHINS0000062894,16.396014,100,99,53
Dicroaspis_km01_CASENT0145951,16.297777,100,75,46
Melissotarsus_weissi_FMNHINS0003471522,16.285008,100,46,71
Cyphoidris_exalta_CASENT0405993,16.263902,100,75,46
Odontomachus_ruginodis_FMNHINS0000078502,16.177911,100,100,66
Basiceros_manni_INB0003621345,16.162537,82,100,100
Ectomomyrmex_sp_CUIC000115663,16.155241,100,100,100
Leptomyrmex_unicolor_FMNHINS0003145082,16.056483,100,100,51
Colobostruma_sp_RA0376atMCZ,16.052835,99,100,99
Dacatria_templaris_CASENT0235148,15.966323,100,64,44
